Year,County,"Estimated Sales, Thousands of Gallons"
2016,Albany,131898
2016,Alleghany,15542
2016,Broome,100367
2016,Cattaraugus,23157
2016,Cayuga,31577
2016,Chautauqua,44023
2016,Chemung,33869
2016,Chenango,23591
2016,Clinton,44217
2016,Columbia,40589
2016,Cortland,25931
2016,Delaware,20794
2016,Dutchess,106405
2016,Erie,364977
2016,Essex,20640
2016,Franklin,17924
2016,Fulton,25509
2016,Genesee,53029
2016,Greene,28123
2016,Hamilton,3139
2016,Herkimer,28319
2016,Jefferson,57906
2016,Lewis,14129
2016,Livingston,34593
2016,Madison,19753
2016,Monroe,275923
2016,Montgomery,38330
2016,Nassau,528544
2016,Niagara,71759
2016,Oneida,103976
2016,Onondaga,223439
2016,Ontario,59779
2016,Orange,158057
2016,Orleans,11138
2016,Oswego,50450
2016,Otsego,29829
2016,Putnam,49024
2016,Rensselaer,71066
2016,Rockland,56006
2016,St. Lawrence,43818
2016,Saratoga,100677
2016,Schenectady,70892
2016,Schoharie,13875
2016,Schuyler,8680
2016,Seneca,32571
2016,Steuben,54810
2016,Suffolk,689418
2016,Sullivan,31623
2016,Tioga,21345
2016,Tompkins,33335
2016,Ulster,83068
2016,Warren,38009
2016,Washington,15935
2016,Wayne,39883
2016,Westchester,293600
2016,Wyoming,16211
2016,Yates,7528
2016,New York City,1101658
2016,New York State,5734254
2015,Albany,129617
2015,Alleghany,14875
2015,Broome,97336
2015,Cattaraugus,23698
2015,Cayuga,33368
2015,Chautauqua,36371
2015,Chemung,32924
2015,Chenango,21586
2015,Clinton,45980
2015,Columbia,33670
2015,Cortland,26840
2015,Delaware,20985
2015,Dutchess,101794
2015,Erie,360650
2015,Essex,20356
2015,Franklin,17338
2015,Fulton,22611
2015,Genesee,54576
2015,Greene,27843
2015,Hamilton,3191
2015,Herkimer,28236
2015,Jefferson,54744
2015,Lewis,12377
2015,Livingston,36266
2015,Madison,19897
2015,Monroe,274338
2015,Montgomery,36850
2015,Nassau,496762
2015,Niagara,71696
2015,Oneida,99762
2015,Onondaga,227662
2015,Ontario,60388
2015,Orange,159407
2015,Orleans,11541
2015,Oswego,49358
2015,Otsego,28859
2015,Putnam,45616
2015,Rensselaer,71457
2015,Rockland,51801
2015,St. Lawrence,44359
2015,Saratoga,102139
2015,Schenectady,70208
2015,Schoharie,13276
2015,Schuyler,8598
2015,Seneca,28691
2015,Steuben,53224
2015,Suffolk,655777
2015,Sullivan,30692
2015,Tioga,19697
2015,Tompkins,32868
2015,Ulster,82308
2015,Warren,39783
2015,Washington,15393
2015,Wayne,40230
2015,Westchester,266018
2015,Wyoming,16943
2015,Yates,7757
2015,New York City,1029969
2015,New York State,5520551
2014,Albany,133346
2014,Allegany,14710
2014,Broome,100444
2014,Cattaraugus,23038
2014,Cayuga,35070
2014,Chautauqua,35898
2014,Chemung,32281
2014,Chenango,20906
2014,Clinton,45376
2014,Columbia,35291
2014,Cortland,25576
2014,Delaware,22069
2014,Dutchess,104094
2014,Erie,352098
2014,Essex,20394
2014,Franklin,17403
2014,Fulton,25897
2014,Genesee,54871
2014,Greene,28080
2014,Hamilton,2811
2014,Herkimer,26672
2014,Jefferson,55607
2014,Lewis,12792
2014,Livingston,38373
2014,Madison,19009
2014,Monroe,280493
2014,Montgomery,40514
2014,Nassau,497316
2014,Niagara,75881
2014,Oneida,100915
2014,Onondaga,236568
2014,Ontario,62288
2014,Orange,164798
2014,Orleans,12021
2014,Oswego,52038
